Location,Name,Instruction,Address/Value,op
 ,COPY,START,0, 
 ,FIRST,STL,RETADR, 
 ,CLOOP,JSUB,RDREC, 
 , ,LDA,LENGTH, 
 , ,COMP,#0, 
 , ,JEQ,ENDFIL, 
 , ,JSUB,WRREC, 
 , ,J,CLOOP, 
 ,ENDFIL,LDA,=C'EOF', 
 , ,STA,BUFFER, 
 , ,LDA,#3
 , ,STA,LENGTH, 
 , ,JSUB,WRREC, 
 , ,J,@RETADR
 , ,USE,CDATA, 
 ,RETADR,RESW,1, 
 ,LENGTH,RESW,1, 
 , ,USE,CBLKS, 
 ,BUFFER,RESB,4096, 
 ,BUFFEND,EQU,*, 
 ,MAXLEN,EQU,BUFFEND-BUFFER, 
 , ,USE, , 
 ,RDREC,CLEAR,X, 
 , ,CLEAR,A, 
 , ,CLEAR,S, 
 , ,+LDT,#MAXLEN, 
 ,RLOOP,TD,INPUT, 
 , ,JEQ,RLOOP, 
 , ,RD,INPUT, 
 , ,COMPR,AS, 
 , ,JEQ,EXIT, 
 , ,STCH,BUFFERX,
 , ,TIXR,T, 
 , ,JLT,RLOOP, 
 ,EXIT,STX,LENGTH, 
 , ,RSUB, , 
 , ,USE,CDATA, 
 , ,BYTE,X'F1', 
 , ,USE, , 
 ,WRREC,CLEAR,X, 
 , ,LDT,LENGTH, 
 ,WLOOP,TD,=X'05', 
 , ,JEQ,WRLOOP, 
 , ,LDCH,BUFFERX, 
 , ,WD,=X'05', 
 , ,TIXR,T
 , ,JLT,WLOOP, 
 , ,RSUB, , 
 , ,USE,CDATA, 
 , ,LTORG, , 
 , ,END,FIRST, 